ARCHIVO,LINEA,VARIABLE_ACCESO,VARIABLE,MODULO,CONTEXTO,CODIGO_EXACTO
D_report.php,55,$_SESSION[],first_name + last_name,ADMIN,Report,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_report.php,186,$_SESSION[],first_name + last_name,ADMIN,Report,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_report.php,332,$_SESSION[],first_name + last_name,ADMIN,Report,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_report.php,478,$_SESSION[],first_name + last_name,ADMIN,Report,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_recarga.php,12,$_SESSION[],first_name + last_name,ADMIN,Recarga,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_recarga.php,27,$_SESSION[],first_name + last_name,ADMIN,Recarga,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_recarga.php,42,$_SESSION[],first_name + last_name,ADMIN,Recarga,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_recarga.php,91,$_SESSION[],first_name + last_name,ADMIN,Recarga,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_rangos.php,25,$_SESSION[],first_name + last_name,ADMIN,Rangos,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_rangos.php,55,$_SESSION[],first_name + last_name,ADMIN,Rangos,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_rangos.php,89,$_SESSION[],first_name + last_name,ADMIN,Rangos,"$session_name = $_SESSION['first_name'].' '.$_SESSION['last_name'];"
D_points.php,23,$_SESSION[],first_name + last_name,ADMIN,Points,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_points.php,71,$_SESSION[],first_name + last_name,ADMIN,Points,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_periodos.php,12,$_SESSION[],first_name + last_name,ADMIN,Periodos,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_periodos.php,32,$_SESSION[],first_name + last_name,ADMIN,Periodos,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,22,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,169,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,264,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,357,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,380,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,449,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_panel.php,489,$_SESSION[],first_name + last_name,ADMIN,Panel,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_pago_tienda.php,21,$_SESSION[],first_name + last_name,ADMIN,Pago tienda,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_pago_tienda.php,36,$_SESSION[],first_name + last_name,ADMIN,Pago tienda,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_pago_tienda.php,145,$_SESSION[],first_name + last_name,ADMIN,Pago tienda,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_pago_tienda.php,161,$_SESSION[],first_name + last_name,ADMIN,Pago tienda,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_pagos.php,24,$_SESSION[],first_name + last_name,ADMIN,Pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_pagos.php,54,$_SESSION[],first_name + last_name,ADMIN,Pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_outgoing.php,20,$_SESSION[],first_name + last_name,ADMIN,Outgoing,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_outgoing.php,71,$_SESSION[],first_name + last_name,ADMIN,Outgoing,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_nueva_venta.php,21,$_SESSION[],first_name + last_name,ADMIN,Nueva venta,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_nueva_venta.php,39,$_SESSION[],first_name + last_name,ADMIN,Nueva venta,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_nueva_venta.php,135,$_SESSION[],first_name + last_name,ADMIN,Nueva venta,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_kyc.php,12,$_SESSION[],first_name + last_name,ADMIN,KYC,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_kyc.php,27,$_SESSION[],first_name + last_name,ADMIN,KYC,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_kit_afiliacion.php,11,$_SESSION[],first_name + last_name,ADMIN,Kit afiliacion,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_kit_afiliacion.php,30,$_SESSION[],first_name + last_name,ADMIN,Kit afiliacion,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_kardex.php,19,$_SESSION[],first_name + last_name,ADMIN,Kardex,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_kardex.php,75,$_SESSION[],first_name + last_name,ADMIN,Kardex,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_integracion_pagos.php,15,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_integracion_pagos.php,31,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_integracion_pagos.php,129,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_integracion_pagos.php,145,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_integracion_pagos.php,258,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_integracion_pagos.php,274,$_SESSION[],first_name + last_name,ADMIN,Integracion pagos,"$session_name = $_SESSION['first_name']. ' ' .$_SESSION['last_name'];"
D_incoming.php,20,$_SESSION[],first_name + last_name,ADMIN,Incoming,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_incoming.php,72,$_SESSION[],first_name + last_name,ADMIN,Incoming,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_facturas.php,30,$_SESSION[],first_name + last_name,ADMIN,Facturas,"isset($_SESSION['first_name'])"
D_facturas.php,31,$_SESSION[],first_name + last_name,ADMIN,Facturas,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_facturas.php,49,$_SESSION[],first_name + last_name,ADMIN,Facturas,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_facturas.php,63,$_SESSION[],first_name + last_name,ADMIN,Facturas,"$session_name = $_SESSION['first_name'] . ' ' . $_SESSION['last_name'];"
D_usuarios.php,26,$_SESSION[],name,ADMIN,Fallback name,"$session_name = $_SESSION['name'];"
D_panel.php,171,$_SESSION[],name,ADMIN,Fallback name,"$session_name = $_SESSION['name'];"
D_panel.php,266,$_SESSION[],name,ADMIN,Fallback name,"$session_name = $_SESSION['name'];"
D_facturas.php,33,$_SESSION[],name,ADMIN,Fallback name,"$session_name = $_SESSION['name'];"
ProjectController.php,106,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
PaymentPlanController.php,24,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
PaymentPlanController.php,111,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
LotController.php,156,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
ContractController.php,30,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1340,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1401,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1515,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1621,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1787,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1908,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
Inmueble.php,1922,$_SESSION[],name,NO_CAT,Session name,"'session_name' => $_SESSION['name'] ?? 'Usuario'"
cart.php,131,$_SESSION[],name,PUBLIC,Carrito,"$nombre = isset($_SESSION['name']) ? $_SESSION['name'] : '';"
backoffice_new/cart.php,131,$_SESSION[],name,BACKOFFICE,Carrito,"$nombre = isset($_SESSION['name']) ? $_SESSION['name'] : '';"
backoffice_new/header.php,247,$_SESSION[],name,BACKOFFICE,Header,"<?php echo isset($_SESSION['name']) ? $_SESSION['name'] : ''; ?>"
backoffice_new/toolbar.php,22,$_SESSION[],name,BACKOFFICE,Toolbar,"<?php echo isset($_SESSION['name']) ? $_SESSION['name'] : ''; ?>"
cart.php,132,$_SESSION[],lastname,PUBLIC,Carrito,"$apellido_paterno = isset($_SESSION['lastname']) ? $_SESSION['lastname'] : '';"
backoffice_new/cart.php,132,$_SESSION[],lastname,BACKOFFICE,Carrito,"$apellido_paterno = isset($_SESSION['lastname']) ? $_SESSION['lastname'] : '';"
admin/inmueble/contracts/contracts.php,678,$_SESSION[],lastname,ADMIN,Contratos,"value=\"<?= $_SESSION['name'] . ' ' . $_SESSION['lastname'] ?>\""
backoffice_new/toolbar.php,22,$_SESSION[],lastname,BACKOFFICE,Toolbar,(implícito)
cart.php,133,$_SESSION[],mother_last,PUBLIC,Carrito,"$apellido_materno = isset($_SESSION['mother_last']) ? $_SESSION['mother_last'] : '';"
backoffice_new/cart.php,133,$_SESSION[],mother_last,BACKOFFICE,Carrito,"$apellido_materno = isset($_SESSION['mother_last']) ? $_SESSION['mother_last'] : '';"
cart.php,135,$_SESSION[],email,PUBLIC,Carrito,"$email = isset($_SESSION['email']) ? $_SESSION['email'] : '';"
backoffice_new/cart.php,135,$_SESSION[],email,BACKOFFICE,Carrito,"$email = isset($_SESSION['email']) ? $_SESSION['email'] : '';"
backoffice_new/toolbar.php,22,$_SESSION[],email,BACKOFFICE,Toolbar,(implícito)
cart.php,134,$_SESSION[],dni,PUBLIC,Carrito,"$dni = isset($_SESSION['dni']) ? $_SESSION['dni'] : '';"
backoffice_new/cart.php,134,$_SESSION[],dni,BACKOFFICE,Carrito,"$dni = isset($_SESSION['dni']) ? $_SESSION['dni'] : '';"
backoffice_new/header.php,258,$_SESSION[],dni,BACKOFFICE,Header,"<?php echo isset($_SESSION['dni']) ? $_SESSION['dni'] : ''; ?>"
backoffice_new/toolbar.php,22,$_SESSION[],dni,BACKOFFICE,Toolbar,"<?php echo isset($_SESSION['dni']) ? $_SESSION['dni'] : ''; ?>"
admin/inmueble/contracts/contracts.php,669,$_SESSION[],tipo_agente,ADMIN,Verificar sponsor,"isset($_SESSION['tipo_agente']) && $_SESSION['tipo_agente'] === 'sponsor'"
backoffice_new/header.php,249,$_SESSION[],active,BACKOFFICE,Header,"if ($_SESSION['active'] == 1)"
admin/comisiones/list.php,278,session(),success,ADMIN,Validación,"<?php if (session('success')): ?>"
admin/comisiones/list.php,283,session(),success,ADMIN,Mostrar,"text: '<?= session('success') ?>'"
